gestion,semestre,carrera,carrera_codigo,modalidad_ingreso,orden_postulacion,turno_estudio,formacion_previa,genero,edad_ingreso,estado_civil,estudiante_internacional,beneficiario_beca,pagos_al_dia,deudor,desplazado,nee,situacion_laboral_estudiante,apoyo_financiero_tipo,materias_inscritas_1sem,evaluaciones_1sem,materias_aprobadas_1sem,promedio_1sem,materias_inscritas_2sem,evaluaciones_2sem,materias_aprobadas_2sem,promedio_2sem,reprobaciones_total,asistencia_pct,tutorias_recibidas,orientacion_academica,tasa_desempleo,tasa_inflacion,pib,estado_academico,target_desercion,avance_curricular_pct,n_retiros,materias_criticas_reprobadas,nota_prom_materias_criticas,alertas_academicas,uso_tutorias
2024,3,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,1,4,1,1,1,20,1,0,1,1,0,1,0,1,beca,6,6,6,12.166666666666666,6,8,4,12.75,0,100.0,0,0,9.4,-0.8,-3.12,Activo,0,37.5,0,0.0,11.921257610213411,0,0
2024,2,Ing. Comercial,1,1,1,1,1,1,24,1,0,0,1,0,0,0,0,ninguno,7,7,6,13.3,7,7,6,13.3,1,67.7,0,0,7.6,2.6,0.32,Activo,0,25.0,0,0.0,12.47009169257685,0,0
2024,2,Ing. Comercio Internacional,2,12,1,1,12,1,37,1,0,0,1,0,0,0,0,ninguno,7,15,0,0.0,7,13,0,0.0,7,72.8,1,1,11.1,0.6,2.02,Abandono,1,25.0,0,2.0,0.0,1,1
2024,3,Lic. en Administración de Empresas,3,1,5,1,1,1,18,1,0,0,1,0,1,0,1,ninguno,7,0,0,0.0,8,0,0,0.0,7,100.0,0,0,7.6,2.6,0.32,Abandono,1,37.5,0,2.0,0.0,1,0
2023,8,Ing. Financiera y de Riesgos,4,1,2,1,1,1,18,1,0,1,0,1,1,0,1,beca,0,0,0,0.0,0,0,0,0.0,0,74.4,0,0,13.9,-0.3,0.79,Abandono,1,100.0,0,0.0,0.0,0,0
2024,2,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,8,1,1,1,1,18,1,0,0,1,0,0,0,0,ninguno,8,8,7,13.55714285714286,8,8,7,13.55714285714286,1,67.5,2,1,12.7,3.7,-1.7,Activo,0,25.0,0,1.0,13.090359167804909,0,1
2024,8,Ing. Comercial,1,15,1,1,14,1,41,2,0,0,1,1,0,0,0,ninguno,7,15,5,14.333333333333334,6,16,6,14.636363636363637,2,81.0,0,0,12.4,0.5,1.79,Activo,0,100.0,0,1.0,13.589084167285984,1,0
2023,1,Ing. Comercio Internacional,2,12,1,1,1,1,35,1,0,0,1,0,0,0,1,ninguno,6,16,4,12.0,6,11,3,10.333333333333334,2,72.5,0,0,13.9,-0.3,0.79,Abandono,1,12.5,1,1.0,10.476613335215637,1,0
2024,2,Lic. en Administración de Empresas,3,8,1,1,1,0,19,1,0,0,1,0,0,0,0,ninguno,5,5,0,0.0,6,0,0,0.0,5,74.2,3,1,8.9,1.4,3.51,Abandono,1,25.0,0,2.0,0.0,1,1
2024,6,Ing. Financiera y de Riesgos,4,1,1,1,1,1,18,1,0,0,1,0,1,0,1,ninguno,0,0,0,0.0,0,0,0,0.0,0,100.0,0,0,10.8,1.4,1.74,Activo,0,75.0,0,0.0,0.0,0,0
2024,6,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,12,1,1,1,0,48,2,0,0,1,0,0,0,0,ninguno,7,11,4,11.75,7,14,3,11.725,3,92.2,1,1,11.1,0.6,2.02,Activo,0,75.0,0,1.0,11.187098264540301,1,1
2025,7,Ing. Comercial,1,1,1,1,1,0,19,1,0,0,1,0,1,0,1,ninguno,7,7,6,12.183333333333332,7,7,6,12.183333333333332,1,55.7,0,0,7.6,2.6,0.32,Activo,0,87.5,0,1.0,11.292249404728885,1,0
2025,1,Ing. Comercio Internacional,2,15,1,1,14,1,30,1,0,0,0,0,1,0,0,ninguno,9,18,6,11.833333333333334,8,21,4,11.0,3,65.9,2,1,15.5,2.8,-4.06,Abandono,1,12.5,0,1.0,10.799356849614089,1,1
2025,1,Lic. en Administración de Empresas,3,14,1,1,1,1,51,2,0,0,0,1,0,0,1,ninguno,4,4,0,0.0,4,4,0,0.0,4,67.9,1,1,12.7,3.7,-1.7,Abandono,1,12.5,0,2.0,0.0,1,1
2024,3,Ing. Financiera y de Riesgos,4,5,1,1,1,0,18,1,1,0,1,0,0,0,1,ninguno,6,8,6,15.0,6,10,5,14.333333333333334,0,72.2,1,1,11.1,0.6,2.02,Activo,0,37.5,0,0.0,14.299791321321301,0,1
2024,1,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,1,1,1,1,0,18,1,0,0,1,0,1,0,0,ninguno,0,0,0,0.0,0,0,0,0.0,0,67.1,0,0,10.8,1.4,1.74,Activo,0,12.5,2,0.0,0.0,0,0
2023,8,Ing. Comercial,1,1,1,1,1,0,18,1,0,0,1,0,1,0,0,ninguno,0,0,0,0.0,0,0,0,0.0,0,84.8,1,1,11.1,0.6,2.02,Activo,0,100.0,0,0.0,0.0,0,1
2024,2,Ing. Comercio Internacional,2,1,5,1,1,0,18,1,0,1,1,0,1,0,0,mixto,8,8,8,13.435,8,8,8,13.435,0,71.4,1,1,9.4,-0.8,-3.12,Activo,0,25.0,0,0.0,12.569077797365997,0,1
2025,3,Lic. en Administración de Empresas,3,1,1,1,1,0,18,1,0,0,1,0,1,0,0,ninguno,5,8,4,13.5,5,9,0,0.0,1,69.1,1,1,10.8,1.4,1.74,Abandono,1,37.5,0,0.0,6.33804143834315,0,1
2025,5,Ing. Financiera y de Riesgos,4,1,1,1,1,0,18,1,0,0,1,0,1,0,1,ninguno,0,0,0,0.0,0,0,0,0.0,0,80.9,1,1,12.4,0.5,1.79,Activo,0,62.5,0,0.0,0.0,0,1
2024,4,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,9,1,1,1,0,23,1,0,0,1,0,1,0,0,ninguno,17,18,17,11.5,17,17,17,12.176470588235292,0,79.5,2,1,12.4,0.5,1.79,Activo,0,50.0,0,0.0,11.307364227918193,0,1
2024,1,Ing. Comercial,1,1,1,1,1,0,19,1,0,0,1,0,1,0,1,ninguno,6,10,2,10.5,6,6,3,11.0,4,84.8,0,0,7.6,2.6,0.32,Activo,0,12.5,0,2.0,9.994744107653188,1,0
2025,5,Ing. Comercio Internacional,2,1,1,1,1,0,21,1,0,0,1,0,0,1,0,ninguno,6,13,4,12.0,6,17,2,11.5,2,78.7,0,0,11.1,0.6,2.02,Activo,0,62.5,0,1.0,10.92010366835724,1,0
2023,5,Lic. en Administración de Empresas,3,1,1,1,1,0,18,1,0,0,0,1,1,0,1,ninguno,6,7,5,12.2,6,11,4,11.5,1,61.2,1,1,11.1,0.6,2.02,Abandono,1,62.5,0,0.0,11.025331373834463,1,1
2023,2,Ing. Financiera y de Riesgos,4,1,1,1,1,0,18,1,0,0,1,0,1,1,0,ninguno,0,0,0,0.0,0,0,0,0.0,0,83.0,1,1,11.1,0.6,2.02,Activo,0,25.0,2,0.0,0.0,0,1
2024,1,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,17,1,1,16,0,21,1,0,0,1,0,1,0,0,ninguno,11,15,10,14.5,9,15,8,14.0,1,81.6,0,0,8.9,1.4,3.51,Activo,0,12.5,0,0.0,13.382425623513294,0,0
2025,3,Ing. Comercial,1,14,1,1,1,0,20,1,0,0,1,1,0,0,0,ninguno,6,7,6,13.333333333333334,6,8,6,12.666666666666666,0,81.3,0,0,12.4,0.5,1.79,Activo,0,37.5,1,0.0,12.394045342069768,0,0
2023,5,Ing. Comercio Internacional,2,13,1,1,1,0,24,1,0,0,1,0,0,0,0,ninguno,11,29,9,12.0,10,21,9,12.555555555555555,2,78.5,2,1,9.4,-0.8,-3.12,Activo,0,62.5,1,1.0,11.891061382070886,1,1
2024,6,Lic. en Administración de Empresas,3,1,1,1,1,0,18,1,0,0,1,0,1,0,1,ninguno,6,9,6,15.125,6,9,6,14.0,0,97.0,1,1,13.9,-0.3,0.79,Activo,0,75.0,1,0.0,13.867390710842331,0,1
2024,2,Ing. Financiera y de Riesgos,4,8,1,1,1,0,18,1,0,0,1,0,1,0,1,ninguno,7,7,6,13.116666666666667,7,7,6,13.116666666666667,1,81.4,0,0,7.6,2.6,0.32,Activo,0,25.0,2,0.0,12.150055697445893,0,0
2024,6,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,1,1,1,1,0,19,1,0,0,1,0,1,0,0,ninguno,6,7,6,12.833333333333334,6,7,6,11.666666666666666,0,87.3,0,0,11.1,0.6,2.02,Activo,0,75.0,0,0.0,11.394904444025242,0,0
2025,1,Ing. Comercial,1,15,1,1,14,0,20,1,0,1,1,0,1,0,0,beca,6,6,6,13.333333333333334,6,6,6,14.166666666666666,0,90.7,1,1,13.9,-0.3,0.79,Activo,0,12.5,1,0.0,13.04490954661543,0,1
2024,4,Ing. Comercio Internacional,2,1,6,1,1,0,18,1,0,0,1,0,1,0,0,ninguno,7,7,7,13.877142857142855,8,8,8,15.6625,0,85.4,0,0,12.4,0.5,1.79,Activo,0,50.0,1,0.0,14.01705746632706,0,0
2024,3,Lic. en Administración de Empresas,3,1,6,1,1,0,18,1,0,0,1,0,1,0,1,ninguno,8,8,7,12.944285714285714,8,8,7,12.944285714285714,1,70.9,0,0,10.8,1.4,1.74,Activo,0,37.5,0,0.0,11.992892295360813,0,0
2024,1,Ing. Financiera y de Riesgos,4,8,1,1,1,0,19,1,0,0,1,0,1,0,0,ninguno,6,8,5,12.333333333333334,6,8,5,11.0,1,78.7,2,1,15.5,2.8,-4.06,Activo,0,12.5,0,0.0,11.066826710562196,0,1
2025,7,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,1,1,1,1,0,19,1,0,0,1,0,1,0,1,ninguno,7,7,6,14.266666666666666,7,7,6,14.266666666666666,1,81.9,1,1,7.6,2.6,0.32,Activo,0,87.5,0,0.0,13.73469076940682,0,1
2024,1,Ing. Comercial,1,1,2,1,1,0,18,1,0,0,1,0,1,0,0,ninguno,6,8,5,13.0,6,8,5,14.0,1,86.0,0,0,13.9,-0.3,0.79,Activo,0,12.5,1,0.0,12.515930904499687,0,0
2025,3,Ing. Comercio Internacional,2,1,2,1,1,0,20,1,0,0,1,0,1,0,0,ninguno,8,8,8,12.48375,8,8,8,12.48375,0,73.4,0,0,9.4,-0.8,-3.12,Activo,0,37.5,0,0.0,11.579339806542768,0,0
2025,6,Lic. en Administración de Empresas,3,1,2,1,1,0,18,1,0,0,1,0,1,0,1,ninguno,7,8,7,13.428571428571429,8,8,8,15.3125,0,78.3,1,1,16.2,0.3,-0.92,Activo,0,75.0,0,0.0,13.844405205052693,0,1
2023,2,Ing. Financiera y de Riesgos,4,8,3,0,1,0,18,2,0,0,0,1,0,0,0,ninguno,6,9,3,10.666666666666666,6,12,0,0.0,3,76.5,0,0,7.6,2.6,0.32,Abandono,1,25.0,0,1.0,4.708686915180687,1,0
2025,6,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,1,1,1,1,0,18,1,0,0,1,0,1,0,0,ninguno,6,8,5,15.4,6,7,5,12.2,1,67.4,1,1,7.6,2.6,0.32,Activo,0,75.0,2,0.0,13.20944530969454,0,1
2025,2,Ing. Comercial,1,1,4,1,1,0,18,1,0,0,1,0,1,0,0,ninguno,7,7,6,13.45,7,7,6,13.45,1,68.3,0,0,7.6,2.6,0.32,Activo,0,25.0,1,0.0,13.045633024929996,0,0
2024,5,Ing. Comercio Internacional,2,8,5,1,1,0,18,1,0,1,1,0,1,0,1,beca,7,7,6,12.6,7,7,6,12.6,1,81.5,3,1,7.6,2.6,0.32,Activo,0,62.5,0,0.0,11.629526473330719,0,1
2025,3,Lic. en Administración de Empresas,3,1,4,1,1,0,20,1,0,0,1,0,1,0,0,ninguno,7,7,7,12.485714285714286,8,12,8,12.9375,0,64.9,0,0,16.2,0.3,-0.92,Activo,0,37.5,1,0.0,12.128588441003313,1,0
2024,6,Ing. Financiera y de Riesgos,4,1,2,1,1,0,22,1,0,1,1,0,1,0,0,credito,6,10,5,10.8,6,7,5,12.8,1,61.3,1,1,12.7,3.7,-1.7,Activo,0,75.0,0,0.0,10.887269642153464,1,1
2023,2,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,14,1,1,1,0,20,1,0,0,1,1,0,0,0,ninguno,6,12,5,12.2,6,8,5,14.6,1,64.1,1,1,13.9,-0.3,0.79,Activo,0,25.0,1,0.0,12.967450640623532,1,1
2023,1,Ing. Comercial,1,15,1,1,14,0,20,1,0,0,1,0,1,0,1,ninguno,6,11,5,14.2,6,12,2,13.5,1,84.8,1,1,13.9,-0.3,0.79,Activo,0,12.5,2,1.0,13.166490432553946,0,1
2023,5,Ing. Comercio Internacional,2,1,2,1,1,0,18,1,0,0,1,0,1,0,1,ninguno,6,7,6,13.833333333333334,6,6,6,14.0,0,87.3,1,1,9.4,-0.8,-3.12,Activo,0,62.5,1,0.0,13.599893697079679,0,1
2023,5,Lic. en Administración de Empresas,3,1,1,1,1,0,18,1,0,0,1,0,0,0,1,ninguno,6,8,5,12.8,6,14,3,10.0,1,76.8,2,1,9.4,-0.8,-3.12,Activo,0,62.5,0,1.0,10.565045661310384,0,1
2024,7,Ing. Financiera y de Riesgos,4,8,3,1,1,0,18,1,0,0,1,0,0,0,1,ninguno,5,5,5,13.2,5,6,4,12.5,0,90.8,3,1,9.4,-0.8,-3.12,Activo,0,87.5,0,0.0,12.143360271227605,0,1
2025,1,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,8,1,1,1,0,18,1,0,1,1,1,0,0,0,beca,6,7,1,14.0,6,6,0,0.0,5,61.8,0,0,15.5,2.8,-4.06,Abandono,1,12.5,1,2.0,6.262087291571174,1,0
2024,4,Ing. Comercial,1,8,1,1,1,0,19,1,0,0,1,0,0,0,0,ninguno,8,8,8,13.875,6,8,5,14.0,0,92.0,2,1,11.1,0.6,2.02,Activo,0,50.0,0,0.0,13.601295382211742,0,1
2024,6,Ing. Comercio Internacional,2,1,1,1,1,0,19,1,0,1,1,0,1,0,0,beca,5,7,5,12.5,5,8,5,12.714285714285714,0,71.9,0,0,10.8,1.4,1.74,Activo,0,75.0,0,0.0,12.159416025996826,0,0
2024,4,Lic. en Administración de Empresas,3,8,2,1,1,0,18,1,0,1,1,0,0,0,0,mixto,6,7,6,13.428571428571429,6,6,6,12.5,0,71.7,3,1,13.9,-0.3,0.79,Activo,0,50.0,0,0.0,12.61225410363821,0,1
2025,7,Ing. Financiera y de Riesgos,4,1,1,1,1,0,18,1,0,1,0,0,0,0,0,beca,6,7,5,11.8,6,7,5,13.0,1,82.5,1,1,8.9,1.4,3.51,Activo,0,87.5,0,0.0,11.897759978937332,0,1
2025,5,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,8,3,1,1,0,18,1,0,1,1,0,1,0,1,mixto,7,7,7,14.868571428571428,8,9,8,15.11111111111111,0,75.2,0,0,11.1,0.6,2.02,Activo,0,62.5,0,0.0,14.250633964463765,0,0
2025,4,Ing. Comercial,1,1,4,1,1,0,18,1,0,0,1,0,1,0,0,ninguno,7,10,7,13.03,8,8,8,13.21875,0,71.5,0,0,15.5,2.8,-4.06,Activo,0,50.0,0,0.0,12.428044810977838,0,0
2024,3,Ing. Comercio Internacional,2,8,1,1,1,0,19,1,0,0,1,0,1,0,1,ninguno,6,7,6,14.571428571428571,6,7,6,12.333333333333334,0,78.3,2,1,12.4,0.5,1.79,Activo,0,37.5,0,0.0,12.72387607725158,0,1
2024,2,Lic. en Administración de Empresas,3,8,2,1,1,0,18,1,0,0,1,0,1,0,0,ninguno,6,9,5,11.0,6,9,4,11.25,1,64.2,0,0,8.9,1.4,3.51,Activo,0,25.0,1,0.0,10.440524110035474,1,0
2024,6,Ing. Financiera y de Riesgos,4,12,1,1,12,0,25,1,0,1,1,0,0,0,0,beca,8,8,8,13.3675,8,8,8,13.3675,0,76.6,0,0,9.4,-0.8,-3.12,Activo,0,75.0,0,0.0,12.876379843026898,0,0
2024,6,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,1,4,1,1,0,19,1,0,1,1,0,1,0,0,beca,7,7,6,12.808333333333332,8,11,7,12.825714285714286,1,64.7,0,0,12.4,0.5,1.79,Activo,0,75.0,1,0.0,12.34586856138271,1,0
2025,3,Ing. Comercial,1,8,6,1,1,0,18,1,0,0,1,0,1,0,1,ninguno,7,7,7,13.918571428571427,8,9,8,13.8875,0,78.4,1,1,11.1,0.6,2.02,Activo,0,37.5,1,0.0,13.507093935810108,0,1
2025,6,Ing. Comercio Internacional,2,8,1,1,1,0,19,1,0,0,1,0,1,0,1,ninguno,6,8,6,13.0,6,9,4,12.8,0,85.2,0,0,13.9,-0.3,0.79,Activo,0,75.0,1,0.0,12.005650387567556,0,0
2023,4,Lic. en Administración de Empresas,3,1,1,1,1,0,18,2,0,0,1,0,0,0,0,ninguno,7,7,6,13.683333333333332,7,7,6,13.683333333333332,1,80.8,0,0,7.6,2.6,0.32,Activo,0,50.0,0,1.0,12.951797782354461,0,0
2025,8,Ing. Financiera y de Riesgos,4,12,1,1,1,0,24,1,0,0,1,0,0,0,1,ninguno,6,11,5,13.0,6,12,1,12.0,1,68.2,0,0,13.9,-0.3,0.79,Abandono,1,100.0,0,0.0,12.069442291247158,0,0
2023,1,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,1,2,1,1,0,21,1,0,0,1,0,1,0,0,ninguno,6,8,5,12.8,6,7,5,11.2,1,73.3,0,0,11.1,0.6,2.02,Activo,0,12.5,1,1.0,11.575953434125132,0,0
2025,1,Ing. Comercial,1,1,2,1,1,0,18,1,0,1,1,0,1,0,1,beca,6,9,6,13.571428571428571,6,6,6,12.166666666666666,0,89.6,0,0,8.9,1.4,3.51,Activo,0,12.5,0,0.0,11.957922697979322,0,0
2023,1,Ing. Comercio Internacional,2,1,1,1,1,0,18,1,0,0,1,0,1,0,0,ninguno,6,6,6,13.166666666666666,6,6,6,13.166666666666666,0,79.7,0,0,8.9,1.4,3.51,Activo,0,12.5,1,0.0,12.346755062032342,0,0
2025,2,Lic. en Administración de Empresas,3,1,1,1,1,0,20,2,0,1,1,0,0,0,0,beca,6,6,6,15.0,6,6,6,14.5,0,69.0,1,1,11.1,0.6,2.02,Activo,0,25.0,0,0.0,13.98842064406624,0,1
2023,2,Ing. Financiera y de Riesgos,4,1,1,1,1,0,19,1,0,0,1,0,1,0,0,ninguno,6,6,6,12.666666666666666,6,8,5,11.4,0,81.9,0,0,12.4,0.5,1.79,Activo,0,25.0,1,0.0,11.448528458055824,0,0
2025,1,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,1,2,1,1,0,19,1,0,1,1,0,1,0,0,beca,6,7,6,13.857142857142858,6,7,6,13.142857142857142,0,87.9,0,0,13.9,-0.3,0.79,Abandono,1,12.5,0,0.0,13.016617105005038,0,0
2024,1,Ing. Comercial,1,1,4,1,1,0,30,1,0,0,1,0,1,0,0,ninguno,7,7,7,14.692857142857145,8,8,8,14.9625,0,80.8,0,0,12.4,0.5,1.79,Activo,0,12.5,0,0.0,13.842063037249597,0,0
2024,1,Ing. Comercio Internacional,2,1,1,1,1,0,18,1,0,0,1,0,0,0,1,ninguno,8,8,8,14.035,8,8,8,14.035,0,62.3,0,0,9.4,-0.8,-3.12,Activo,0,12.5,0,0.0,13.17693229748404,1,0
2025,2,Lic. en Administración de Empresas,3,8,1,1,1,0,18,1,0,0,1,0,1,0,0,ninguno,5,8,4,11.0,5,8,3,14.0,1,81.2,2,1,12.7,3.7,-1.7,Activo,0,25.0,0,1.0,11.988754543804607,0,1
2024,8,Ing. Financiera y de Riesgos,4,1,1,1,1,0,18,1,0,1,1,0,1,0,1,beca,6,6,6,13.333333333333334,6,6,6,13.333333333333334,0,77.9,0,0,9.4,-0.8,-3.12,Activo,0,100.0,0,0.0,12.440037975938388,0,0
2024,4,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,9,1,1,1,0,20,1,0,0,1,0,0,0,1,ninguno,7,13,6,11.7725,8,9,7,12.33,1,79.9,1,1,15.5,2.8,-4.06,Activo,0,50.0,0,0.0,11.219997635969722,0,1
2024,4,Ing. Comercial,1,1,1,1,1,0,19,1,0,0,1,0,0,0,0,ninguno,6,0,0,0.0,6,0,0,0.0,6,91.4,0,0,11.1,0.6,2.02,Abandono,1,50.0,0,2.0,0.0,1,0
2025,1,Ing. Comercio Internacional,2,14,2,1,1,0,19,1,0,0,1,0,1,0,1,ninguno,6,0,0,0.0,6,12,0,0.0,6,92.4,0,0,10.8,1.4,1.74,Abandono,1,12.5,0,1.0,0.0,1,0
2025,8,Lic. en Administración de Empresas,3,1,1,1,1,0,19,1,0,0,0,0,1,0,0,ninguno,0,0,0,0.0,0,0,0,0.0,0,71.7,2,1,10.8,1.4,1.74,Abandono,1,100.0,0,0.0,0.0,0,1
2024,1,Ing. Financiera y de Riesgos,4,1,4,1,1,0,18,1,0,1,1,0,1,0,0,beca,6,7,6,12.285714285714286,6,6,6,12.0,0,90.7,1,1,8.9,1.4,3.51,Activo,0,12.5,2,0.0,11.765120431792466,0,1
2025,1,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,1,4,1,1,0,17,1,0,0,1,0,1,0,0,ninguno,8,14,5,12.46,8,14,5,12.46,3,67.9,1,1,10.8,1.4,1.74,Activo,0,12.5,1,1.0,11.654066577012212,1,1
2023,3,Ing. Comercial,1,9,1,1,1,0,19,1,0,0,1,0,1,0,1,ninguno,7,10,6,12.166666666666666,7,9,6,13.166666666666666,1,82.4,0,0,12.4,0.5,1.79,Activo,0,37.5,0,0.0,12.17940836651896,0,0
2024,4,Ing. Comercio Internacional,2,1,4,1,1,0,18,1,0,0,1,0,1,1,0,ninguno,6,9,5,11.833333333333334,6,8,2,11.5,1,87.0,0,0,13.9,-0.3,0.79,Activo,0,50.0,0,1.0,10.792625110644291,0,0
2024,4,Lic. en Administración de Empresas,3,4,1,1,3,0,25,1,0,0,1,0,0,0,0,ninguno,8,8,7,14.805714285714286,8,8,7,14.805714285714286,1,75.6,0,0,10.8,1.4,1.74,Activo,0,50.0,0,0.0,13.808788187654187,0,0
2024,3,Ing. Financiera y de Riesgos,4,1,1,1,1,0,19,1,0,0,1,0,1,0,0,ninguno,6,11,5,10.6,6,10,6,11.714285714285714,1,83.2,0,0,11.1,0.6,2.02,Abandono,1,37.5,1,1.0,10.803508987392103,0,0
2024,1,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,17,1,1,16,0,24,1,0,0,0,1,1,0,1,ninguno,9,9,8,13.125,9,13,6,13.0,1,75.4,0,0,8.9,1.4,3.51,Activo,0,12.5,0,0.0,12.43137541244141,0,0
2025,3,Ing. Comercial,1,1,1,1,1,0,19,1,0,1,1,1,1,0,0,mixto,6,6,6,12.833333333333334,6,6,6,12.666666666666666,0,73.1,0,0,9.4,-0.8,-3.12,Activo,0,37.5,0,0.0,11.888556208482438,0,0
2023,3,Ing. Comercio Internacional,2,9,1,1,1,0,20,1,0,1,1,0,0,0,1,credito,8,8,0,0.0,8,8,0,0.0,8,69.6,0,0,9.4,-0.8,-3.12,Activo,0,37.5,0,5.0,0.0,1,0
2023,2,Lic. en Administración de Empresas,3,1,1,1,1,0,20,1,0,1,1,0,1,0,0,beca,6,9,5,13.0,6,6,5,13.8,1,84.4,0,0,12.4,0.5,1.79,Activo,0,25.0,0,0.0,12.568001989168323,0,0
2024,2,Ing. Financiera y de Riesgos,4,1,2,1,1,0,20,1,0,1,1,0,1,0,1,credito,7,8,7,12.725,8,8,8,13.7125,0,69.7,0,0,13.9,-0.3,0.79,Activo,0,25.0,0,0.0,12.674453545288662,0,0
2025,3,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,8,1,1,1,0,19,1,0,0,1,0,1,0,1,ninguno,5,10,4,11.25,5,10,3,10.333333333333334,1,82.8,2,1,12.7,3.7,-1.7,Activo,0,37.5,0,0.0,10.173969387687132,0,1
2023,8,Ing. Comercial,1,4,1,1,4,0,31,1,0,0,1,0,1,0,0,ninguno,12,12,11,13.818181818181818,12,16,12,13.461538461538462,1,77.3,0,0,15.5,2.8,-4.06,Activo,0,100.0,2,0.0,12.923382289721111,0,0
2024,6,Ing. Comercio Internacional,2,1,1,1,1,0,20,1,0,0,1,0,0,0,0,ninguno,5,12,3,12.333333333333334,5,8,3,13.0,2,66.9,1,1,9.4,-0.8,-3.12,Activo,0,75.0,1,1.0,11.684908258165388,1,1
2023,2,Lic. en Administración de Empresas,3,1,3,1,1,0,18,1,0,0,1,0,1,0,0,ninguno,5,14,3,12.333333333333334,5,8,5,11.6,2,83.4,0,0,9.4,-0.8,-3.12,Activo,0,25.0,0,1.0,11.437383577009722,1,0
2025,4,Ing. Financiera y de Riesgos,4,8,1,1,1,0,18,1,0,0,1,1,0,0,1,ninguno,6,8,4,13.25,6,10,3,10.666666666666666,2,72.9,3,1,12.7,3.7,-1.7,Activo,0,50.0,0,1.0,11.012132611931532,1,1
2023,6,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,1,4,1,1,0,18,1,0,0,1,0,1,0,1,ninguno,6,7,6,13.666666666666666,6,9,5,15.4,0,82.2,2,1,13.9,-0.3,0.79,Activo,0,75.0,0,0.0,14.044783490606987,0,1
2024,3,Ing. Comercial,1,16,1,1,1,0,20,1,0,0,1,1,0,0,0,ninguno,11,18,8,12.625,10,10,3,11.0,3,84.9,0,0,11.1,0.6,2.02,Activo,0,37.5,1,1.0,10.820147874168407,1,0
2023,6,Ing. Comercio Internacional,2,8,1,1,1,0,20,1,0,1,1,0,1,0,1,credito,6,6,6,14.833333333333334,6,8,6,12.142857142857142,0,80.3,1,1,8.9,1.4,3.51,Activo,0,75.0,0,0.0,12.718910657315924,0,1
2025,4,Lic. en Administración de Empresas,3,8,2,1,1,0,19,1,0,1,1,0,0,0,0,beca,6,7,5,11.2,6,10,5,13.125,1,100.0,1,1,10.8,1.4,1.74,Abandono,1,50.0,0,0.0,11.538041963749015,0,1
2024,1,Ing. Financiera y de Riesgos,4,8,1,1,1,0,21,1,0,1,1,0,0,0,0,mixto,5,6,5,11.4,5,6,5,12.2,0,75.5,1,1,12.7,3.7,-1.7,Activo,0,12.5,0,0.0,11.070626700355477,0,1
2025,3,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,1,4,1,1,0,18,1,0,0,1,0,1,0,0,ninguno,7,8,7,13.135,8,9,8,13.244444444444444,0,88.4,0,0,12.4,0.5,1.79,Activo,0,37.5,1,0.0,12.698950403894077,0,0
2024,5,Ing. Comercial,1,16,1,1,1,0,21,1,0,0,1,0,1,0,0,ninguno,10,10,10,13.0,11,11,10,11.4,0,69.7,0,0,11.1,0.6,2.02,Abandono,1,62.5,0,0.0,11.708078299741972,0,0
2023,3,Ing. Comercio Internacional,2,1,4,1,1,0,19,1,0,0,1,0,1,0,0,ninguno,7,12,4,12.85,7,7,7,12.62142857142857,3,88.4,0,0,11.1,0.6,2.02,Activo,0,37.5,0,2.0,12.356226105023838,1,0
2025,1,Lic. en Administración de Empresas,3,15,1,1,14,0,20,1,0,0,1,0,0,0,1,ninguno,6,6,6,13.5,6,9,5,12.5,0,70.2,1,1,13.9,-0.3,0.79,Activo,0,12.5,0,0.0,12.620164791606221,0,1
2023,5,Ing. Financiera y de Riesgos,4,15,1,1,1,0,20,1,0,0,1,0,0,0,0,ninguno,6,7,6,14.285714285714286,6,9,3,13.0,0,74.0,1,1,13.9,-0.3,0.79,Activo,0,62.5,0,0.0,13.099486923828904,0,1
2025,5,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,1,1,1,1,0,18,1,0,1,1,0,1,0,0,beca,6,8,5,13.5,6,6,6,14.5,1,66.7,1,1,12.4,0.5,1.79,Activo,0,62.5,0,0.0,13.16600116547254,0,1
